Colonia,Gdl_Ren_Dep_n,Gdl_Ren_Dep_precio_mean,Gdl_Ren_Dep_precio_min,Gdl_Ren_Dep_precio_max,Gdl_Ren_Dep_area_m2_mean,Gdl_Ren_Dep_PxM2_mean,Gdl_Ven_CasC_n,Gdl_Ven_CasC_precio_mean,Gdl_Ven_CasC_precio_min,Gdl_Ven_CasC_precio_max,Gdl_Ven_CasC_area_m2_mean,Gdl_Ven_CasC_PxM2_mean,Gdl_Ven_Cas_n,Gdl_Ven_Cas_precio_mean,Gdl_Ven_Cas_precio_min,Gdl_Ven_Cas_precio_max,Gdl_Ven_Cas_area_m2_mean,Gdl_Ven_Cas_PxM2_mean,Gdl_Ven_Dep_n,Gdl_Ven_Dep_precio_mean,Gdl_Ven_Dep_precio_min,Gdl_Ven_Dep_precio_max,Gdl_Ven_Dep_area_m2_mean,Gdl_Ven_Dep_PxM2_mean,Gdl_Ven_LocC_n,Gdl_Ven_LocC_precio_mean,Gdl_Ven_LocC_precio_min,Gdl_Ven_LocC_precio_max,Gdl_Ven_LocC_area_m2_mean,Gdl_Ven_LocC_PxM2_mean,Gdl_Ven_Ofc_n,Gdl_Ven_Ofc_precio_mean,Gdl_Ven_Ofc_precio_min,Gdl_Ven_Ofc_precio_max,Gdl_Ven_Ofc_area_m2_mean,Gdl_Ven_Ofc_PxM2_mean,Gdl_Ven_Terreno____n,Gdl_Ven_Terreno____precio_mean,Gdl_Ven_Terreno____precio_min,Gdl_Ven_Terreno____precio_max,Gdl_Ven_Terreno____area_m2_mean,Gdl_Ven_Terreno____PxM2_mean,Zap_Ren_Dep_n,Zap_Ren_Dep_precio_mean,Zap_Ren_Dep_precio_min,Zap_Ren_Dep_precio_max,Zap_Ren_Dep_area_m2_mean,Zap_Ren_Dep_PxM2_mean,Zap_Ven_CasC_n,Zap_Ven_CasC_precio_mean,Zap_Ven_CasC_precio_min,Zap_Ven_CasC_precio_max,Zap_Ven_CasC_area_m2_mean,Zap_Ven_CasC_PxM2_mean,Zap_Ven_Cas_n,Zap_Ven_Cas_precio_mean,Zap_Ven_Cas_precio_min,Zap_Ven_Cas_precio_max,Zap_Ven_Cas_area_m2_mean,Zap_Ven_Cas_PxM2_mean,Zap_Ven_Dep_n,Zap_Ven_Dep_precio_mean,Zap_Ven_Dep_precio_min,Zap_Ven_Dep_precio_max,Zap_Ven_Dep_area_m2_mean,Zap_Ven_Dep_PxM2_mean,Zap_Ven_LocC_n,Zap_Ven_LocC_precio_mean,Zap_Ven_LocC_precio_min,Zap_Ven_LocC_precio_max,Zap_Ven_LocC_area_m2_mean,Zap_Ven_LocC_PxM2_mean,Zap_Ven_Ofc_n,Zap_Ven_Ofc_precio_mean,Zap_Ven_Ofc_precio_min,Zap_Ven_Ofc_precio_max,Zap_Ven_Ofc_area_m2_mean,Zap_Ven_Ofc_PxM2_mean,Zap_Ven_Terreno____n,Zap_Ven_Terreno____precio_mean,Zap_Ven_Terreno____precio_min,Zap_Ven_Terreno____precio_max,Zap_Ven_Terreno____area_m2_mean,Zap_Ven_Terreno____PxM2_mean
Americana,41.0,21824.39024390244,8000.0,33000.0,86.17073170731707,276.8750010189003,,,,,,,27.0,17110371.14814815,5700000.0,41000000.0,394.14814814814815,43246.16597312018,87.0,4922854.528735632,1730484.0,16500000.0,78.89655172413794,64698.80075517649,7.0,14108528.714285716,1390000.0,30450000.0,324.85714285714283,43692.4443679092,4.0,14049999.75,1599999.0,26400000.0,660.75,23344.73281465592,2.0,42964000.0,42224000.0,43704000.0,1348.5,32108.380338436746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampliación Santa Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3933333.3333333335,2500000.0,6500000.0,239.66666666666663,16297.108843537417,,,,,,,,,,,,,,,,,,,,,,,,
Analco,1.0,6800.0,6800.0,6800.0,65.0,104.6153846153846,,,,,,,1.0,4800000.0,4800000.0,4800000.0,470.0,10212.765957446809,1.0,1302000.0,1302000.0,1302000.0,56.0,23250.0,2.0,4205000.0,2430000.0,5980000.0,283.0,14378.853792320788,,,,,,,2.0,18395000.0,16000000.0,20790000.0,1701.5,10787.50826173166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arandas,,,,,,,,,,,,,2.0,4050000.0,3900000.0,4200000.0,328.5,12462.18487394958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arauca I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,17362000.0,14150000.0,20490000.0,408.0,42421.64529495369,24.0,17840468.458333332,13900000.0,23290999.0,388.9583333333333,46136.79698109732,,,,,,,,,,,,,,,,,,,10.0,8935350.0,6700000.0,11840000.0,444.2,21067.18399484357
Arauca II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,18990000.0,17990000.0,19990000.0,427.5,44667.90123456791,16.0,19533214.0625,15702376.0,24900000.0,393.375,50416.120381280656,,,,,,,,,,,,,,,,,,,4.0,7655800.0,5250000.0,10342800.0,400.5,20239.42307692308
Arboledas Sur,,,,,,,,,,,,,2.0,2290000.0,2190000.0,2390000.0,50.0,45800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arboledas de Tesistán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2600000.0,2600000.0,2600000.0,107.0,24299.065420560742,1.0,3650000.0,3650000.0,3650000.0,105.0,34761.90476190476,,,,,,,,,,,,
Arboreto Residencial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2803333.333333333,2650000.0,2880000.0,138.0,20315.998555435177,5.0,2796598.0,2300000.0,3200000.0,139.0,20784.90783820394,,,,,,,,,,,,,,,,,,,,,,,,
Arcos,7.0,19381.42857142857,18200.0,22000.0,67.71428571428571,290.5783399516673,,,,,,,4.0,20972500.0,8900000.0,33000000.0,626.5,32015.231114399783,16.0,3779558.3125,2657000.0,8900000.0,73.125,54904.14773686127,1.0,8500000.0,8500000.0,8500000.0,126.0,67460.31746031746,1.0,8599000.0,8599000.0,8599000.0,506.0,16994.07114624506,3.0,17739333.333333332,6938000.0,26500000.0,523.0,31826.655324430747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcos Vallarta,52.0,23120.19230769231,14700.0,34000.0,84.25,288.64245378178487,,,,,,,8.0,13081875.0,7125000.0,25800000.0,427.375,30636.38533315793,106.0,5012200.084905661,1835350.0,15232689.0,85.32075471698113,61848.46066542524,7.0,9533707.142857144,2697000.0,15590000.0,275.1428571428572,41233.289001442725,8.0,13741700.0,5000000.0,28928000.0,314.5,54619.899634716,3.0,21166666.666666668,14500000.0,26000000.0,835.0,26490.58127984681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcos de Guadalupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,19500.0,6800.0,29000.0,78.625,259.060788523774,1.0,8200000.0,8200000.0,8200000.0,110.0,74545.45454545454,26.0,12198153.846153846,7500000.0,18500000.0,352.34615384615387,36700.28337296796,13.0,5004223.923076923,2961432.0,6300000.0,97.84615384615384,53902.70552416798,1.0,4556000.0,4556000.0,4556000.0,91.0,50065.93406593407,1.0,28350000.0,28350000.0,28350000.0,600.0,47250.0,2.0,17515000.0,9030000.0,26000000.0,474.0,35151.0067114094
Arcos de Zapopan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8600.0,8600.0,8600.0,35.0,245.7142857142857,,,,,,,1.0,3150000.0,3150000.0,3150000.0,105.0,30000.0,7.0,1595571.4285714286,1275000.0,2300000.0,67.71428571428571,23625.07032227157,,,,,,,,,,,,,,,,,,
Arenales Tapatíos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9500.0,9500.0,9500.0,42.0,226.1904761904762,,,,,,,6.0,2743000.0,1900000.0,5195000.0,111.66666666666669,26618.777209113832,3.0,2170000.0,1750000.0,2380000.0,53.333333333333336,40781.54425612052,,,,,,,,,,,,,,,,,,
Argenta Parque Residencial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6229833.333333333,4290000.0,7300000.0,213.16666666666663,30075.43312247368,17.0,5980606.235294118,3877135.0,7200000.0,180.64705882352945,34586.72887028938,,,,,,,,,,,,,,,,,,,2.0,3697500.0,2100000.0,5295000.0,169.0,20871.21212121212
Armonía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4800000.0,4800000.0,4800000.0,185.0,25945.945945945947,1.0,4685000.0,4685000.0,4685000.0,185.0,25324.324324324323,,,,,,,,,,,,,,,,,,,,,,,,
