id,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,precio,longitud,latitud,PxM2
Zap-DelP_Cas-036K-215_03-03-02_Capit-10344-20663,Zap,Del Parque,Ren,Cas,215,36000,-103.447568,20.663297,167.4418605
Zap-Vall_CasC-021K-175_04-02-02_GFCGr-10343-20782,Zap,Valle Imperial,Ren,CasC,175,21000,-103.438363,20.782301,120.0
Zap-Parq_Cas-014K-130_03-03-02_JOSEL-10341-20745,Zap,Parques de Zapopan,Ren,Cas,130,14800,-103.416729,20.745026,113.8461538
Zap-Bosq_Cas-034K-247_04-03-02_ÚNICA-10347-20719,Zap,Bosques Vallarta,Ren,Cas,247,34000,-103.479007,20.719537,137.6518219
Zap-SanJ_CasC-028K-171_01-01-00_HOMEL-10346-20716,Zap,San Juan de Ocotán,Ren,CasC,171,28000,-103.460795,20.716534,163.7426901
Zap-Sant_Cas-025K-178_03-02-03_ENLAC-10346-20720,Zap,Santillana,Ren,Cas,178,25500,-103.462945,20.72004,143.258427
Gdl-Coli_CasC-025K-151_02-02-01_LizAp-10340-20709,Gdl,Colinas de San Javier,Ren,CasC,151,25000,-103.405626,20.709313,165.5629139
Zap-Virr_Cas-039K-324_04-05-02_ALIAN-10343-20695,Zap,Virreyes,Ren,Cas,324,39500,-103.437529,20.695471,121.9135802
Gdl-Vill_Cas-028K-250_04-03-00_ALTIM-10336-20687,Gdl,Villaseñor (Santa Teresita),Ren,Cas,250,28500,-103.367967,20.687219,114.0
Zap-Puer_Cas-085K-491_03-04-04_HHASE-10341-20712,Zap,Puerta de Hierro,Ren,Cas,491,85000,-103.418763,20.712758,173.1160896
Zap-Puer_Cas-145K-750_05-06-04_ALTUR-10341-20712,Zap,Puerta de Hierro,Ren,Cas,750,145000,-103.418763,20.712758,193.3333333
Zap-Soar_CasC-031K-212_03-04-02_FINCA-10347-20731,Zap,Soare Acantia I,Ren,CasC,212,31000,-103.470773,20.731297,146.2264151
Zap-Vill_CasC-040K-234_03-04-02_FINCA-10344-20691,Zap,Villas de Asís,Ren,CasC,234,40000,-103.441964,20.69192,170.9401709
Zap-Palm_Cas-026K-210_03-02-02_Viter-10345-20717,Zap,Palma Real,Ren,Cas,210,26000,-103.455434,20.717431,123.8095238
Zap-LaEs_Cas-038K-368_04-03-02_VECOR-10342-20669,Zap,La Estancia,Ren,Cas,368,38000,-103.429692,20.66935,103.2608696
Gdl-Prad_Cas-035K-261_04-02-02_VECOR-10339-20688,Gdl,Prados Providencia,Ren,Cas,261,35000,-103.390496,20.688284,134.0996169
Zap-SanJ_CasC-014M-330_04-04-05_BROKO-10347-20711,Zap,San Juan de Ocotán,Ven,CasC,330,14950000,-103.470466,20.711033,45303.0303
Gdl-Arco_Cas-026K-220_04-04-02_GRUPO-10337-20676,Gdl,Arcos Vallarta,Ren,Cas,220,26500,-103.377565,20.676505,120.4545455
Zap-ElBa_CasC-053K-320_04-04-03_ALTUR-10346-20700,Zap,El Bajo Hábitat 2,Ren,CasC,320,53000,-103.466291,20.700989,165.625
Zap-Vall_Cas-069K-430_04-04-04_VECOR-10344-20721,Zap,Valle Real,Ren,Cas,430,69000,-103.446823,20.721323,160.4651163
Zap-Vill_CasC-080K-400_03-04-03_ALTUR-10344-20701,Zap,Villa Verona,Ren,CasC,400,80000,-103.444431,20.701485,200.0
Zap-Arau_Cas-068K-293_03-02-02_SIERR-10346-20733,Zap,Arauca I,Ren,Cas,293,68000,-103.463189,20.733788,232.0819113
Zap-Pont_CasC-100K-522_04-04-03_GuiaE-10341-20714,Zap,Pontevedra,Ren,CasC,522,100000,-103.413318,20.714754,191.5708812
Zap-Puer_Cas-155K-560_04-05-04_ALTUR-10343-20705,Zap,Puerta Las Lomas,Ren,Cas,560,155000,-103.436354,20.705495,276.7857143
Zap-Cruc_Cas-001M-200_04-01-02_Capri-10334-20762,Zap,Crucero de La Mesa,Ven,Cas,200,1350000,-103.340104,20.762954,6750.0
Zap-DeLo_Cas-016K-096_03-02-02_CasaA-10343-20745,Zap,De Los Fresnos,Ren,Cas,96,16500,-103.433975,20.745108,171.875
Zap-Mont_Cas-016K-130_03-02-02_SOTOY-10340-20765,Zap,Montes,Ren,Cas,130,16000,-103.405395,20.765097,123.0769231
Zap-Coto_Cas-019K-130_03-03-02_BROKE-10341-20785,Zap,Coto Zoi,Ren,Cas,130,19000,-103.41259,20.785249,146.1538462
Zap-Guad_CasC-008M-165_03-04-03_CasaL-10349-20723,Zap,Guadalajara (Technology Park),Ven,CasC,165,8100000,-103.493098,20.723612,49090.90909
Zap-ElRe_Cas-022K-140_03-03-02_TereG-10344-20737,Zap,El Real,Ren,Cas,140,22000,-103.448122,20.737436,157.1428571
Gdl-Colo_Cas-054K-520_04-04-02_JOSEM-10338-20705,Gdl,Colomos Providencia,Ren,Cas,520,54000,-103.380232,20.705771,103.8461538
Zap-Parq_Cas-021K-177_03-02-02_CasaA-10344-20659,Zap,Parque Guadalupe,Ren,Cas,177,21000,-103.442473,20.659746,118.6440678
Zap-Loma_Cas-025K-249_04-03-02_Espac-10340-20637,Zap,Loma Bonita Sur,Ren,Cas,249,25500,-103.407273,20.637466,102.4096386
Zap-Jard_Cas-011M-340_04-03-02_Inmob-10342-20680,Zap,Jardines Vallarta,Ven,Cas,340,11500000,-103.423584,20.680962,33823.52941
Zap-LasA_Cas-009K-090_03-02-02_INMOB-10348-20790,Zap,Las Agujas,Ren,Cas,90,9000,-103.482559,20.790726,100.0
Zap-Ayam_Cas-139K-827_05-05-06_SIENT-10346-20671,Zap,Ayamonte,Ren,Cas,827,139000,-103.464173,20.671319,168.0773881
Zap-Vall_Cas-015M-460_04-05-02_Capri-10342-20688,Zap,Vallarta Universidad,Ven,Cas,460,15000000,-103.426707,20.688308,32608.69565
Zap-Rese_Cas-014K-095_03-02-02_PRIMA-10345-20772,Zap,Reserva Las Magnolias,Ren,Cas,95,14900,-103.453089,20.772958,156.8421053
