Ciudad,Colonia,operacion,tipo_propiedad,PxM2_median,periodo
Gdl,Lagos de Oriente,Ven,Cas,11500.0,Sep25
Gdl,Lagos de Oriente,Ven,Dep,23243.243243243243,Sep25
Gdl,Lagos del Country,Ven,Cas,32307.69230769231,Sep25
Gdl,Las Conchas,Ven,Cas,9411.764705882351,Sep25
Gdl,Las Conchas,Ven,Dep,38783.461679501284,Sep25
Gdl,Las Huertas,Ven,Cas,24939.73214285714,Sep25
Gdl,Las Torres,Ven,Cas,19834.710743801654,Sep25
Gdl,Libertad,Ven,Cas,20000.0,Sep25
Gdl,Libertad,Ven,Dep,20441.176470588234,Sep25
Gdl,Lomas Independencia,Ven,Cas,21000.0,Sep25
Gdl,Lomas de Guevara,Ven,Cas,39049.72608512432,Sep25
Gdl,Lomas de Guevara,Ven,Dep,63514.112491490814,Sep25
Gdl,Lomas de Guevara,Ven,Terreno / Lote,50000.0,Sep25
Gdl,Lomas de Independencia,Ven,Cas,32017.54385964912,Sep25
Gdl,Lomas de Independencia,Ven,Dep,34558.82352941176,Sep25
Gdl,Lomas de Oblatos,Ven,Cas,12217.194570135747,Sep25
Gdl,Lomas de Polanco,Ven,Cas,12320.261437908499,Sep25
Gdl,Lomas de Polanco,Ven,Local comercial,10472.972972972972,Sep25
Gdl,Lomas de Providencia,Ven,Cas,39062.5,Sep25
Gdl,Lomas de Providencia,Ven,Dep,49947.36842105263,Sep25
Gdl,Lomas de Rio Verde,Ven,Cas,10382.513661202183,Sep25
Gdl,Lomas de San Eugenio,Ven,Cas,19642.85714285714,Sep25
Gdl,Lomas de San Eugenio,Ven,Dep,21554.054054054053,Sep25
Gdl,Lomas del Country,Ven,Cas,30676.56765676568,Sep25
Gdl,Lomas del Country,Ven,Dep,61158.767419962336,Sep25
Gdl,Lomas del Gallo,Ven,Cas,12621.14537444934,Sep25
Gdl,Lomas del Paradero,Ven,Cas,41250.0,Sep25
Gdl,Lomas del Paraíso I,Ven,Cas,12254.901960784313,Sep25
Gdl,Lomas del Paraíso I,Ven,Dep,18044.444444444445,Sep25
Gdl,Lomas del Paraíso III,Ven,Cas,37931.03448275862,Sep25
Gdl,Lomas del Paraíso III,Ven,Dep,35375.409423028475,Sep25
Gdl,Los Arrayanes,Ven,Cas,24789.537712895377,Sep25
Gdl,Lázaro Cárdenas,Ven,Cas,19067.79661016949,Sep25
Gdl,López Portillo,Ven,Dep,34340.0,Sep25
Gdl,López de Legazpi,Ven,Cas,26363.636363636364,Sep25
Gdl,Magaña,Ven,Cas,13245.033112582782,Sep25
Gdl,Magaña,Ven,Dep,30007.56048387097,Sep25
Gdl,Margarita Maza de Juárez,Ven,Dep,44705.882352941175,Sep25
Gdl,Mexicaltzingo,Ven,Dep,43461.90178571428,Sep25
Gdl,Mezquitán,Ven,Cas,33098.59154929577,Sep25
Gdl,Mezquitán,Ven,Dep,56494.93736263737,Sep25
Gdl,Mezquitán,Ven,Local comercial,41112.65671641791,Sep25
Gdl,Mezquitán Country,Ven,Cas,22687.417072091994,Sep25
Gdl,Mezquitán Country,Ven,Dep,44285.71428571428,Sep25
Gdl,Miraflores,Ven,Dep,38235.294117647056,Sep25
Gdl,Miravalle,Ven,Cas,21323.529411764703,Sep25
Gdl,Modelo,Ven,Cas,46428.57142857143,Sep25
Gdl,Moderna,Ven,Cas,27868.852459016394,Sep25
Gdl,Moderna,Ven,Dep,53932.839598997496,Sep25
Gdl,Moderna,Ven,Local comercial,21026.89486552567,Sep25
Gdl,Moderna,Ven,Terreno / Lote,18892.50814332248,Sep25
Gdl,Monraz,Ven,Cas,33750.0,Sep25
Gdl,Monraz,Ven,Dep,65754.90196078432,Sep25
Gdl,Monumental,Ven,Cas,17812.5,Sep25
Gdl,Monumental,Ven,Dep,32831.57894736842,Sep25
Gdl,Morelos,Ven,Cas,20232.14285714286,Sep25
Gdl,Niños Héroes,Ven,Dep,51190.47619047619,Sep25
Gdl,Nueva España,Ven,Dep,44209.14573070608,Sep25
Gdl,Oblatos,Ven,Cas,20625.0,Sep25
Gdl,Oblatos,Ven,Dep,35443.97142857143,Sep25
Gdl,Oblatos Pte.,Ven,Cas,19522.886363636364,Sep25
Gdl,Obrera,Ven,Cas,32231.427333766514,Sep25
Gdl,Obrera,Ven,Dep,59011.90476190476,Sep25
Gdl,Obrera,Ven,Local comercial,37433.1550802139,Sep25
Gdl,Obrera,Ven,Terreno / Lote,28818.68131868132,Sep25
Gdl,Observatorio,Ven,Cas,28457.71144278607,Sep25
Gdl,Observatorio,Ven,Dep,36741.379310344826,Sep25
Gdl,Olimpica,Ven,Cas,19664.502164502162,Sep25
Gdl,Olimpica,Ven,Local comercial,11272.727272727272,Sep25
Gdl,Panorámica de Huentitán,Ven,Cas,14873.20082248115,Sep25
Gdl,Panorámica de Huentitán,Ven,Local comercial,22260.27397260274,Sep25
Gdl,Parques del Nilo 2a Sección,Ven,Cas,4005.933333333333,Sep25
Gdl,Plutarco Elías Calles,Ven,Cas,18487.394957983197,Sep25
Gdl,Polanco,Ven,Dep,22702.702702702703,Sep25
Gdl,Popular Hornos,Ven,Cas,27959.183673469382,Sep25
Gdl,Popular Hornos,Ven,Dep,34931.50684931507,Sep25
Gdl,Postes Cuates,Ven,Cas,14548.022598870057,Sep25
Gdl,Prados Providencia,Ven,Cas,39618.437956204376,Sep25
Gdl,Prados Providencia,Ven,Dep,58140.86320774311,Sep25
Gdl,Prados Providencia,Ven,Ofc,45000.0,Sep25
Gdl,Progreso,Ven,Local comercial,7884.615384615385,Sep25
Gdl,Providencia,Ven,Cas,32463.768115942028,Sep25
Gdl,Providencia,Ven,Dep,71929.82456140351,Sep25
Gdl,Providencia,Ven,Local comercial,36836.75213675214,Sep25
Gdl,Providencia,Ven,Ofc,62709.229629629626,Sep25
Gdl,Providencia,Ven,Terreno / Lote,35000.0,Sep25
Gdl,Providencia 2a Sección,Ven,Cas,25878.00369685767,Sep25
Gdl,Providencia 2a Sección,Ven,Dep,69053.57142857142,Sep25
Gdl,Providencia 2a Sección,Ven,Ofc,58813.77791758415,Sep25
Gdl,Providencia 3a Sección,Ven,Cas,34675.32467532468,Sep25
Gdl,Providencia 3a Sección,Ven,Dep,55138.3870967742,Sep25
Gdl,Providencia 4a Sección,Ven,Cas,29726.36815920398,Sep25
Gdl,Providencia 4a Sección,Ven,Dep,56756.75675675676,Sep25
Gdl,Providencia 4a Sección,Ven,Terreno / Lote,55000.0,Sep25
Gdl,Quinta Velarde,Ven,Cas,31578.947368421053,Sep25
Gdl,Quinta Velarde,Ven,Dep,45764.44086021505,Sep25
Gdl,Rancho Nuevo,Ven,Cas,23792.30769230769,Sep25
Gdl,Rancho Nuevo,Ven,Dep,34126.98412698413,Sep25
Gdl,Real,Ven,Cas,16353.887399463809,Sep25
Gdl,Real,Ven,Dep,36057.69230769231,Sep25
Gdl,Reforma,Ven,Cas,21304.34782608696,Sep25
Gdl,Reforma,Ven,Dep,26321.83908045977,Sep25
Gdl,Revolución,Ven,Cas,17023.809523809523,Sep25
Gdl,Rincón de La Agua Azul,Ven,Dep,29817.52577319588,Sep25
Gdl,Rio Verde,Ven,Cas,26756.75675675676,Sep25
Gdl,San Andrés,Ven,Cas,15736.040609137057,Sep25
Gdl,San Andrés,Ven,Dep,27011.494252873563,Sep25
Gdl,San Andrés,Ven,Local comercial,29735.953701470942,Sep25
Gdl,San Antonio,Ven,Cas,19848.002827854365,Sep25
Gdl,San Antonio,Ven,Dep,39130.434782608696,Sep25
Gdl,San Bernardo,Ven,Cas,35641.29919393077,Sep25
Gdl,San Carlos,Ven,Cas,26331.62439287642,Sep25
Gdl,San Juan Bosco,Ven,Dep,20259.906759906757,Sep25
Gdl,San Juan Bosco,Ven,Terreno / Lote,24941.176470588234,Sep25
Gdl,San Juan de Dios,Ven,Cas,22707.76874435411,Sep25
Gdl,San Juan de Dios,Ven,Dep,35938.04347826087,Sep25
Gdl,San Juan de Dios,Ven,Local comercial,17307.69230769231,Sep25
Gdl,San Juan de Dios,Ven,Ofc,24180.790960451977,Sep25
Gdl,San Juan de Dios II,Ven,Cas,13906.47393130714,Sep25
Gdl,San Juan de Dios II,Ven,Dep,36985.6724137931,Sep25
Gdl,San Juan de Dios II,Ven,Local comercial,26201.76751512097,Sep25
Gdl,San Marcos,Ven,Cas,12511.737089201877,Sep25
Gdl,San Martin,Ven,Cas,18229.166666666668,Sep25
Gdl,San Miguel de Huentitán,Ven,Cas,18098.765432098764,Sep25
Gdl,San Miguel de Mezquitán,Ven,Cas,18750.0,Sep25
Gdl,San Miguel de Mezquitán,Ven,Dep,55844.72580645161,Sep25
Gdl,San Miguel de Mezquitán,Ven,Local comercial,16701.570680628272,Sep25
Gdl,San Miguel de Mezquitán,Ven,Terreno / Lote,21736.263736263736,Sep25
Gdl,San Rafael,Ven,Cas,23286.71328671329,Sep25
Gdl,San Rafael,Ven,Dep,26944.444444444445,Sep25
Gdl,San Rafael Residencial,Ven,Dep,23454.545454545456,Sep25
Gdl,Santa Cecilia,Ven,Cas,13020.833333333334,Sep25
Gdl,Santa Eduwiges,Ven,Cas,16738.197424892704,Sep25
Gdl,Santa Eduwiges,Ven,Dep,40055.55555555556,Sep25
Gdl,Santa Elena Alcalde,Ven,Cas,25634.328358208957,Sep25
Gdl,Santa Elena Estadio,Ven,Cas,20786.516853932582,Sep25
Gdl,Santa Elena de La Cruz,Ven,Cas,16696.444933113435,Sep25
Gdl,Santa María,Ven,Cas,10178.57142857143,Sep25
Gdl,Santa Mónica,Ven,Cas,19375.0,Sep25
Gdl,Santa Mónica,Ven,Local comercial,41799.36305732484,Sep25
Gdl,Santa Rita,Ven,Cas,29838.445966988475,Sep25
Gdl,Santa Rita,Ven,Dep,43970.58823529411,Sep25
Gdl,Santa Rosa,Ven,Cas,4473.994791666667,Sep25
Gdl,Santos Degollado,Ven,Dep,25000.0,Sep25
Gdl,Sutaj,Ven,Cas,16276.346604215456,Sep25
Gdl,Sutaj,Ven,Dep,36986.30136986302,Sep25
Gdl,Sutaj,Ven,Terreno / Lote,22500.0,Sep25
Gdl,Terranova,Ven,Cas,30203.045685279187,Sep25
Gdl,Terranova,Ven,Dep,45402.11397058824,Sep25
Gdl,Tetlán,Ven,Dep,24000.0,Sep25
Gdl,Tetlán II,Ven,Cas,19285.714285714286,Sep25
Gdl,Universitaria,Ven,Cas,17241.379310344826,Sep25
Gdl,Vallarta,Ven,Cas,23981.48148148148,Sep25
Gdl,Vallarta,Ven,Dep,62990.05681818182,Sep25
Gdl,Vallarta,Ven,Ofc,50091.74311926605,Sep25
Gdl,Vallarta Norte,Ven,Cas,38000.0,Sep25
Gdl,Vallarta Norte,Ven,Dep,57796.27352335166,Sep25
Gdl,Vallarta Norte,Ven,Local comercial,26789.960369881108,Sep25
Gdl,Vallarta Norte,Ven,Terreno / Lote,22197.30941704036,Sep25
Gdl,Vallarta Poniente,Ven,Cas,33296.2962962963,Sep25
Gdl,Vallarta Poniente,Ven,Dep,58028.84615384616,Sep25
Gdl,Vallarta Poniente,Ven,Terreno / Lote,25384.615384615383,Sep25
Gdl,Vallarta San Jorge,Ven,Dep,62236.11111111111,Sep25
Gdl,Verde Valle,Ven,Cas,34489.06356801093,Sep25
Gdl,Victoria,Ven,Cas,30296.31147540984,Sep25
Gdl,Victoria,Ven,Dep,40168.06722689076,Sep25
Gdl,Victoria,Ven,Local comercial,37601.62601626016,Sep25
Gdl,Victoria,Ven,Ofc,38461.53846153846,Sep25
Gdl,Villa Guerrero,Ven,Cas,31297.70992366412,Sep25
Gdl,Villa Guerrero,Ven,Dep,16457.6802507837,Sep25
Gdl,Villas de San Juan,Ven,Cas,27686.237373737375,Sep25
Gdl,Villas de San Juan,Ven,Dep,27500.0,Sep25
Gdl,Villaseñor (Santa Teresita),Ven,Cas,23767.319636884855,Sep25
Gdl,Villaseñor (Santa Teresita),Ven,Dep,60973.32193732193,Sep25
Gdl,Villaseñor (Santa Teresita),Ven,Local comercial,22401.433691756272,Sep25
Gdl,Villaseñor (Santa Teresita),Ven,Terreno / Lote,35043.85964912281,Sep25
Gdl,Zona Centro,Ven,Cas,21268.115942028984,Sep25
Gdl,Zona Centro,Ven,Dep,48724.97435897436,Sep25
Gdl,Zona Centro,Ven,Local comercial,28655.737704918032,Sep25
Gdl,Zona Centro,Ven,Terreno / Lote,24750.0,Sep25
